"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"str_cfgweapons_mosin9130_black0","$UNT$Mosin 9130","$UNT$Mosin 9130","$UNT$Mosin 9130","$UNT$Mosin 9130","$UNT$Mosin 9130","$UNT$Mosin 9130","$UNT$Mosin 9130","$UNT$Mosin 9130","$UNT$Mosin 9130","$UNT$Mosin 9130","$UNT$Mosin 9130","$UNT$Mosin 9130","$UNT$Mosin 9130","$UNT$Mosin 9130",
"str_cfgweapons_mosin91301","Five shot bolt-action rifle, fed from internal magazine. Still usable today due to its sturdiness. Uses 7.62x54mmR rounds.","Five shot bolt-action rifle, fed from internal magazine. Still usable today due to its sturdiness. Uses 7.62x54mmR rounds.","Opakovací puška na pět ran. Munice dodávána vnitřním zásobníkem. Díky své odolnosti je použitelná i dnes a používá munici 7,62x54 mmR.","5-Schuss-Repetiergewehr mit internem Magazin. Aufgrund seiner Strapazierfähigkeit auch heute noch nutzbar. Nutzt 7,62x54mmR-Munition.","Пятизарядная винтовка со скользящим затвором и внутренним магазином. До сих пор используется в наши дни благодаря своей надежности. Использует патроны калибра 7,62x54 мм R.","Pięciostrzałowy, samopowtarzalny karabin z magazynkiem wewnętrznym. Używany ze względu na swoją solidność. Strzela amunicją 7,62x54 mm.","Five shot bolt-action rifle, fed from internal magazine. Still usable today due to its sturdiness. Uses 7.62x54mmR rounds.","Fucile a otturatore girevole-scorrevole da cinque colpi con alimentazione mediante caricatore interno. È possibile usarlo ancora oggi grazie alla sua robustezza. Utilizza munizioni calibro 7.62x54 mm R.","Fusil de cerrojo de cinco tiros. Se alimenta de un cargador interno. Es tan férreo que sigue funcionando a día de hoy. Usa proyectiles de 7,62x54 mmR.","Un fusil à verrou de calibre 7,62x54 mm R avec chargeur fixe à cinq coups. Encore fiable de nos jours grâce à une conception à toute épreuve.","栓動步槍，可容納五發子彈，以內建彈匣供彈。非常可靠，到現在都還能用。使用 7.62x54mmR 子彈。","内部マガジンから装填する 5 発ボルトアクション式ライフル。頑丈なため今でも使用できる。7.62x54mmR 弾薬を使う。","Five shot bolt-action rifle, fed from internal magazine. Still usable today due to its sturdiness. Uses 7.62x54mmR rounds.","从内部弹匣送弹的五发手动栓式步枪。由于其非常坚固，至今仍可使用。使用 7.62x54mmR 子弹。",
"str_cfgweapons_mosin91300","Mosin 91/30","Mosin 91/30","Mosin 91/30","Mosin 91/30","Винтовка Мосина","Mosin 91/30","Mosin 91/30","Mosin 91/30","Mosin 91/30","Mosin 91/30","Mosin 91/30","モシン 91/30","Mosin 91/30","Mosin 91/30",
"str_cfgweapons_m4a1_green0","$UNT$The M4 carbine is a family of firearms that was derived from earlier carbine versions of the M16 rifle. The M4 is a shorter and lighter variant of the M16A2 assault rifle, with 80% parts commonality. This variant is painted to green.","$UNT$The M4 carbine is a family of firearms that was derived from earlier carbine versions of the M16 rifle. The M4 is a shorter and lighter variant of the M16A2 assault rifle, with 80% parts commonality. This variant is painted to green.","$UNT$The M4 carbine is a family of firearms that was derived from earlier carbine versions of the M16 rifle. The M4 is a shorter and lighter variant of the M16A2 assault rifle, with 80% parts commonality. This variant is painted to green.","$UNT$The M4 carbine is a family of firearms that was derived from earlier carbine versions of the M16 rifle. The M4 is a shorter and lighter variant of the M16A2 assault rifle, with 80% parts commonality. This variant is painted to green.","$UNT$The M4 carbine is a family of firearms that was derived from earlier carbine versions of the M16 rifle. The M4 is a shorter and lighter variant of the M16A2 assault rifle, with 80% parts commonality. This variant is painted to green.","$UNT$The M4 carbine is a family of firearms that was derived from earlier carbine versions of the M16 rifle. The M4 is a shorter and lighter variant of the M16A2 assault rifle, with 80% parts commonality. This variant is painted to green.","$UNT$The M4 carbine is a family of firearms that was derived from earlier carbine versions of the M16 rifle. The M4 is a shorter and lighter variant of the M16A2 assault rifle, with 80% parts commonality. This variant is painted to green.","$UNT$The M4 carbine is a family of firearms that was derived from earlier carbine versions of the M16 rifle. The M4 is a shorter and lighter variant of the M16A2 assault rifle, with 80% parts commonality. This variant is painted to green.","$UNT$The M4 carbine is a family of firearms that was derived from earlier carbine versions of the M16 rifle. The M4 is a shorter and lighter variant of the M16A2 assault rifle, with 80% parts commonality. This variant is painted to green.","$UNT$The M4 carbine is a family of firearms that was derived from earlier carbine versions of the M16 rifle. The M4 is a shorter and lighter variant of the M16A2 assault rifle, with 80% parts commonality. This variant is painted to green.","$UNT$The M4 carbine is a family of firearms that was derived from earlier carbine versions of the M16 rifle. The M4 is a shorter and lighter variant of the M16A2 assault rifle, with 80% parts commonality. This variant is painted to green.","$UNT$The M4 carbine is a family of firearms that was derived from earlier carbine versions of the M16 rifle. The M4 is a shorter and lighter variant of the M16A2 assault rifle, with 80% parts commonality. This variant is painted to green.","$UNT$The M4 carbine is a family of firearms that was derived from earlier carbine versions of the M16 rifle. The M4 is a shorter and lighter variant of the M16A2 assault rifle, with 80% parts commonality. This variant is painted to green.","$UNT$The M4 carbine is a family of firearms that was derived from earlier carbine versions of the M16 rifle. The M4 is a shorter and lighter variant of the M16A2 assault rifle, with 80% parts commonality. This variant is painted to green.",
"str_cfgweapons_m4a1_black0","$UNT$The M4 carbine is a family of firearms that was derived from earlier carbine versions of the M16 rifle. The M4 is a shorter and lighter variant of the M16A2 assault rifle, with 80% parts commonality. This variant is painted to black.","$UNT$The M4 carbine is a family of firearms that was derived from earlier carbine versions of the M16 rifle. The M4 is a shorter and lighter variant of the M16A2 assault rifle, with 80% parts commonality. This variant is painted to black.","$UNT$The M4 carbine is a family of firearms that was derived from earlier carbine versions of the M16 rifle. The M4 is a shorter and lighter variant of the M16A2 assault rifle, with 80% parts commonality. This variant is painted to black.","$UNT$The M4 carbine is a family of firearms that was derived from earlier carbine versions of the M16 rifle. The M4 is a shorter and lighter variant of the M16A2 assault rifle, with 80% parts commonality. This variant is painted to black.","$UNT$The M4 carbine is a family of firearms that was derived from earlier carbine versions of the M16 rifle. The M4 is a shorter and lighter variant of the M16A2 assault rifle, with 80% parts commonality. This variant is painted to black.","$UNT$The M4 carbine is a family of firearms that was derived from earlier carbine versions of the M16 rifle. The M4 is a shorter and lighter variant of the M16A2 assault rifle, with 80% parts commonality. This variant is painted to black.","$UNT$The M4 carbine is a family of firearms that was derived from earlier carbine versions of the M16 rifle. The M4 is a shorter and lighter variant of the M16A2 assault rifle, with 80% parts commonality. This variant is painted to black.","$UNT$The M4 carbine is a family of firearms that was derived from earlier carbine versions of the M16 rifle. The M4 is a shorter and lighter variant of the M16A2 assault rifle, with 80% parts commonality. This variant is painted to black.","$UNT$The M4 carbine is a family of firearms that was derived from earlier carbine versions of the M16 rifle. The M4 is a shorter and lighter variant of the M16A2 assault rifle, with 80% parts commonality. This variant is painted to black.","$UNT$The M4 carbine is a family of firearms that was derived from earlier carbine versions of the M16 rifle. The M4 is a shorter and lighter variant of the M16A2 assault rifle, with 80% parts commonality. This variant is painted to black.","$UNT$The M4 carbine is a family of firearms that was derived from earlier carbine versions of the M16 rifle. The M4 is a shorter and lighter variant of the M16A2 assault rifle, with 80% parts commonality. This variant is painted to black.","$UNT$The M4 carbine is a family of firearms that was derived from earlier carbine versions of the M16 rifle. The M4 is a shorter and lighter variant of the M16A2 assault rifle, with 80% parts commonality. This variant is painted to black.","$UNT$The M4 carbine is a family of firearms that was derived from earlier carbine versions of the M16 rifle. The M4 is a shorter and lighter variant of the M16A2 assault rifle, with 80% parts commonality. This variant is painted to black.","$UNT$The M4 carbine is a family of firearms that was derived from earlier carbine versions of the M16 rifle. The M4 is a shorter and lighter variant of the M16A2 assault rifle, with 80% parts commonality. This variant is painted to black.",
"str_cfgweapons_m4a11","Selective-fire assault rifle, fed from a standardized detachable magazine. Offers a lot of customization with attachments. Uses 5.56x45mm rounds.","Selective-fire assault rifle, fed from a standardized detachable magazine. Offers a lot of customization with attachments. Uses 5.56x45mm rounds.","Útočná puška s možností volby režimu střelby. Munice dodávána standardizovaným odnímatelným zásobníkem, dá se rozsáhle upravit pomocí doplňků. Používá munici 5,56x45 mm.","Sturmgewehr mit selektivem Feuer und standardisiertem, abnehmbarem Magazin. Bietet zahlreiche Anpassungsmöglichkeiten durch Zubehör. Nutzt 5,56x45mm-Munition.","Автомат с переводчиком режимов огня и стандартным съемным магазином. Можно кастомизировать с помощью различных приспособлений. Использует патроны калибра 5,56x45 мм.","Karabin szturmowy z przełącznikiem ognia i uniwersalnym magazynkiem zewnętrznym. Można go łatwo rozbudować o akcesoria. Strzela amunicją 5,56x45 mm.","Selective-fire assault rifle, fed from a standardized detachable magazine. Offers a lot of customization with attachments. Uses 5.56x45mm rounds.","Fucile d’assalto con selettore di fuoco e caricatore estraibile standard. Molto personalizzabile grazie agli accessori. Usa munizioni calibro 5.56x45 mm.","Fusil de asalto de fuego selectivo, que se alimenta de un cargador estándar desmontable. Ofrece muchas posibilidades de personalización. Usa proyectiles de 5,56x45 mm.","Un fusil d'assaut de calibre 5,56x45 mm avec différents modes de tir et chargeur amovible standardisé. Entièrement personnalisable grâce aux accessoires.","可選射擊模式的突擊步槍，以可拆卸的標準彈匣供彈。可加裝自訂配件，配件種類眾多。使用 5.56x45mm 子彈。","標準化された取り外し可能なマガジンから装填する、セレクティブファイア機能のアサルトライフル。アタッチメントでかなりカスタマイズが可能。5.56x45mm 弾薬を使う。","Selective-fire assault rifle, fed from a standardized detachable magazine. Offers a lot of customization with attachments. Uses 5.56x45mm rounds.","从标准化可拆卸弹匣送弹的选射突击步枪。附件可进行多种定制。使用 5.56x45mm 子弹。",
"str_cfgweapons_m4a10","M4-A1","M4-A1","M4-A1","M4-A1","M4-A1","M4-A1","M4-A1","M4-A1","M4-A1","M4-A1","M4-A1","M4-A1","M4-A1","M4-A1",
"str_cfgweapons_m2491","$UNT$The M249 SAW is an american variant of FN Minimi light machine gun. The M249 is widely used in various branches of U.S. Armed Forces. The weapon has only a fully automatic mode of fire. This weapon is belt-fed, with belts stored in ammo boxes.","$UNT$The M249 SAW is an american variant of FN Minimi light machine gun. The M249 is widely used in various branches of U.S. Armed Forces. The weapon has only a fully automatic mode of fire. This weapon is belt-fed, with belts stored in ammo boxes.","$UNT$The M249 SAW is an american variant of FN Minimi light machine gun. The M249 is widely used in various branches of U.S. Armed Forces. The weapon has only a fully automatic mode of fire. This weapon is belt-fed, with belts stored in ammo boxes.","$UNT$The M249 SAW is an american variant of FN Minimi light machine gun. The M249 is widely used in various branches of U.S. Armed Forces. The weapon has only a fully automatic mode of fire. This weapon is belt-fed, with belts stored in ammo boxes.","$UNT$The M249 SAW is an american variant of FN Minimi light machine gun. The M249 is widely used in various branches of U.S. Armed Forces. The weapon has only a fully automatic mode of fire. This weapon is belt-fed, with belts stored in ammo boxes.","$UNT$The M249 SAW is an american variant of FN Minimi light machine gun. The M249 is widely used in various branches of U.S. Armed Forces. The weapon has only a fully automatic mode of fire. This weapon is belt-fed, with belts stored in ammo boxes.","$UNT$The M249 SAW is an american variant of FN Minimi light machine gun. The M249 is widely used in various branches of U.S. Armed Forces. The weapon has only a fully automatic mode of fire. This weapon is belt-fed, with belts stored in ammo boxes.","$UNT$The M249 SAW is an american variant of FN Minimi light machine gun. The M249 is widely used in various branches of U.S. Armed Forces. The weapon has only a fully automatic mode of fire. This weapon is belt-fed, with belts stored in ammo boxes.","$UNT$The M249 SAW is an american variant of FN Minimi light machine gun. The M249 is widely used in various branches of U.S. Armed Forces. The weapon has only a fully automatic mode of fire. This weapon is belt-fed, with belts stored in ammo boxes.","$UNT$The M249 SAW is an american variant of FN Minimi light machine gun. The M249 is widely used in various branches of U.S. Armed Forces. The weapon has only a fully automatic mode of fire. This weapon is belt-fed, with belts stored in ammo boxes.","$UNT$The M249 SAW is an american variant of FN Minimi light machine gun. The M249 is widely used in various branches of U.S. Armed Forces. The weapon has only a fully automatic mode of fire. This weapon is belt-fed, with belts stored in ammo boxes.","$UNT$The M249 SAW is an american variant of FN Minimi light machine gun. The M249 is widely used in various branches of U.S. Armed Forces. The weapon has only a fully automatic mode of fire. This weapon is belt-fed, with belts stored in ammo boxes.","$UNT$The M249 SAW is an american variant of FN Minimi light machine gun. The M249 is widely used in various branches of U.S. Armed Forces. The weapon has only a fully automatic mode of fire. This weapon is belt-fed, with belts stored in ammo boxes.","$UNT$The M249 SAW is an american variant of FN Minimi light machine gun. The M249 is widely used in various branches of U.S. Armed Forces. The weapon has only a fully automatic mode of fire. This weapon is belt-fed, with belts stored in ammo boxes.",
"str_cfgweapons_m2490","$UNT$M249 SAW","$UNT$M249 SAW","$UNT$M249 SAW","$UNT$M249 SAW","$UNT$M249 SAW","$UNT$M249 SAW","$UNT$M249 SAW","$UNT$M249 SAW","$UNT$M249 SAW","$UNT$M249 SAW","$UNT$M249 SAW","$UNT$M249 SAW","$UNT$M249 SAW","$UNT$M249 SAW",
"str_cfgweapons_izh181","Single shot break action hunting rifle. Designed with simplicity, built to last. Uses 7.62x39mm rounds.","Single shot break action hunting rifle. Designed with simplicity, built to last. Uses 7.62x39mm rounds.","Lámací lovecká puška na jednu ránu. Jednoduchá konstrukce, která vydrží věčnost. Používá munici 7,62x39 mm.","Einzelschuss-Jagdgewehr mit Kipplauf. Langlebig und leicht zu bedienen. Nutzt 7,62x39mm-Munition.","Однозарядная охотничья винтовка с переломным затвором. Простая конструкция, сделанная на века. Использует патроны калибра 7,62x39 мм.","Jednostrzałowy, łamany karabin myśliwski. Prostota, która opiera się czasowi. Strzela amunicją 7,62x39 mm.","Single shot break action hunting rifle. Designed with simplicity, built to last. Uses 7.62x39mm rounds.","Fucile da caccia a canna basculante e colpo singolo, dal design semplice e dalla costruzione duratura. Utilizza munizioni calibro 7.62x39 mm.","Escopeta de caza de cañón basculante, de un solo tiro. Diseñada para ser sencilla, pero fabricada para durar. Usa proyectiles de 7,62x39 mm.","Un fusil de calibre 7,62x39 mm à tir unique et à chargement entièrement manuel. De conception simple, il est très résistant.","單發中折式狩獵步槍。極簡設計，但能長久流傳。使用 7.62x39mm 子彈。","単発中折式狩猟用ライフル。シンプルなデザインで長持ちするように作られている。7.62x39mm 弾薬を使う。","Single shot break action hunting rifle. Designed with simplicity, built to last. Uses 7.62x39mm rounds.","单发折开式猎枪。设计简单，经久耐用。使用 7.62x39mm 子弹。",
"str_cfgweapons_izh180","BK-18","BK-18","BK-18","BK-18","BK-18","BK-18","BK-18","BK-18","BK-18","BK-18","BK-18","BK-18","BK-18","BK-18",
"str_cfgweapons_groza_base_useractions_peepsight1","$UNT$Peep Sight","$UNT$Peep Sight","$UNT$Peep Sight","$UNT$Peep Sight","$UNT$Peep Sight","$UNT$Peep Sight","$UNT$Peep Sight","$UNT$Peep Sight","$UNT$Peep Sight","$UNT$Peep Sight","$UNT$Peep Sight","$UNT$Peep Sight","$UNT$Peep Sight","$UNT$Peep Sight",
"str_cfgweapons_groza_base_useractions_peepsight0","$UNT$Peep Sight","$UNT$Peep Sight","$UNT$Peep Sight","$UNT$Peep Sight","$UNT$Peep Sight","$UNT$Peep Sight","$UNT$Peep Sight","$UNT$Peep Sight","$UNT$Peep Sight","$UNT$Peep Sight","$UNT$Peep Sight","$UNT$Peep Sight","$UNT$Peep Sight","$UNT$Peep Sight",
"str_cfgweapons_groza_base_useractions_notchsight1","$UNT$Notch Sight","$UNT$Notch Sight","$UNT$Notch Sight","$UNT$Notch Sight","$UNT$Notch Sight","$UNT$Notch Sight","$UNT$Notch Sight","$UNT$Notch Sight","$UNT$Notch Sight","$UNT$Notch Sight","$UNT$Notch Sight","$UNT$Notch Sight","$UNT$Notch Sight","$UNT$Notch Sight",
"str_cfgweapons_groza_base_useractions_notchsight0","$UNT$Notch Sight","$UNT$Notch Sight","$UNT$Notch Sight","$UNT$Notch Sight","$UNT$Notch Sight","$UNT$Notch Sight","$UNT$Notch Sight","$UNT$Notch Sight","$UNT$Notch Sight","$UNT$Notch Sight","$UNT$Notch Sight","$UNT$Notch Sight","$UNT$Notch Sight","$UNT$Notch Sight",
"str_cfgweapons_groza1","$UNT$The OTs-14-4A (Groza-4) is a combined assault rifle and grenade launcher in a modular plateform. It was developed in the mid-90s for the Russian special forces. Its modular design allows easy conversion into different configurations.","$UNT$The OTs-14-4A (Groza-4) is a combined assault rifle and grenade launcher in a modular plateform. It was developed in the mid-90s for the Russian special forces. Its modular design allows easy conversion into different configurations.","$UNT$The OTs-14-4A (Groza-4) is a combined assault rifle and grenade launcher in a modular plateform. It was developed in the mid-90s for the Russian special forces. Its modular design allows easy conversion into different configurations.","$UNT$The OTs-14-4A (Groza-4) is a combined assault rifle and grenade launcher in a modular plateform. It was developed in the mid-90s for the Russian special forces. Its modular design allows easy conversion into different configurations.","$UNT$The OTs-14-4A (Groza-4) is a combined assault rifle and grenade launcher in a modular plateform. It was developed in the mid-90s for the Russian special forces. Its modular design allows easy conversion into different configurations.","$UNT$The OTs-14-4A (Groza-4) is a combined assault rifle and grenade launcher in a modular plateform. It was developed in the mid-90s for the Russian special forces. Its modular design allows easy conversion into different configurations.","$UNT$The OTs-14-4A (Groza-4) is a combined assault rifle and grenade launcher in a modular plateform. It was developed in the mid-90s for the Russian special forces. Its modular design allows easy conversion into different configurations.","$UNT$The OTs-14-4A (Groza-4) is a combined assault rifle and grenade launcher in a modular plateform. It was developed in the mid-90s for the Russian special forces. Its modular design allows easy conversion into different configurations.","$UNT$The OTs-14-4A (Groza-4) is a combined assault rifle and grenade launcher in a modular plateform. It was developed in the mid-90s for the Russian special forces. Its modular design allows easy conversion into different configurations.","$UNT$The OTs-14-4A (Groza-4) is a combined assault rifle and grenade launcher in a modular plateform. It was developed in the mid-90s for the Russian special forces. Its modular design allows easy conversion into different configurations.","$UNT$The OTs-14-4A (Groza-4) is a combined assault rifle and grenade launcher in a modular plateform. It was developed in the mid-90s for the Russian special forces. Its modular design allows easy conversion into different configurations.","$UNT$The OTs-14-4A (Groza-4) is a combined assault rifle and grenade launcher in a modular plateform. It was developed in the mid-90s for the Russian special forces. Its modular design allows easy conversion into different configurations.","$UNT$The OTs-14-4A (Groza-4) is a combined assault rifle and grenade launcher in a modular plateform. It was developed in the mid-90s for the Russian special forces. Its modular design allows easy conversion into different configurations.","$UNT$The OTs-14-4A (Groza-4) is a combined assault rifle and grenade launcher in a modular plateform. It was developed in the mid-90s for the Russian special forces. Its modular design allows easy conversion into different configurations.",
"str_cfgweapons_groza0","$UNT$Groza-4","$UNT$Groza-4","$UNT$Groza-4","$UNT$Groza-4","$UNT$Groza-4","$UNT$Groza-4","$UNT$Groza-4","$UNT$Groza-4","$UNT$Groza-4","$UNT$Groza-4","$UNT$Groza-4","$UNT$Groza-4","$UNT$Groza-4","$UNT$Groza-4",
"str_cfgweapons_fal1","Selective-fire battle rifle, fed from a detachable magazine. Open for customization with attachments. Uses .308 WIN rounds.","Selective-fire battle rifle, fed from a detachable magazine. Open for customization with attachments. Uses .308 WIN rounds.","Bojová puška s možností volby režimu střelby. Munice dodávána odnímatelným zásobníkem, dá se upravit pomocí doplňků. Používá munici .308 WIN.","Kampfgewehr mit selektivem Feuer und abnehmbarem Magazin. Kann durch Zubehör erweitert werden. Nutzt .308 WIN-Munition.","Автоматическая винтовка с переводчиком режимов огня и съемным магазином. Можно добавлять различные приспособления. Использует патроны калибра .308 WIN.","Karabin bojowy z przełącznikiem ognia i uniwersalnym magazynkiem zewnętrznym. Można go łatwo rozbudować o akcesoria. Strzela amunicją .308 Win.","Selective-fire battle rifle, fed from a detachable magazine. Open for customization with attachments. Uses .308 WIN rounds.","Fucile da battaglia con selettore di fuoco e alimentazione a caricatore estraibile. Può essere personalizzato con degli accessori. Utilizza munizioni calibro .308 WIN.","Fusil de combate de fuego selectivo, que se alimenta de un cargador desmontable. Permite la personalización con accesorios. Usa proyectiles de .308 WIN.","Un fusil d’assaut avec différents modes de tir, accueillant un chargeur amovible de calibre .308 Win. Personnalisable grâce aux accessoires.","可選射擊模式的戰鬥步槍，以可拆卸的彈匣供彈。可加裝自訂配件。使用 .308 WIN 子彈。","取り外し可能なマガジンから装填する、セレクティブファイア機能のバトルライフル。アタッチメントでカスタマイズが可能。.308 WIN 弾薬を使う。","Selective-fire battle rifle, fed from a detachable magazine. Open for customization with attachments. Uses .308 WIN rounds.","从可拆卸弹匣送弹的选射战斗步枪。可用附件进行定制。使用 .308 WIN 子弹。",
"str_cfgweapons_fal0","LAR","LAR","LAR","LAR","LAR","LAR","LAR","LAR","LAR","LAR","LAR","LAR","LAR","LAR",
"str_cfgweapons_cz611","Compact selective-fire submachine gun, fed from a detachable magazine. Often used as a sidearm. Uses .380 ACP rounds.","Compact selective-fire submachine gun, fed from a detachable magazine. Often used as a sidearm. Uses .380 ACP rounds.","Kompaktní samopal s možností volby režimu střelby. Munice dodávána odnímatelným zásobníkem. Často je ve výbavě jako záložní zbraň a používá munici .380 ACP","Kompakte Maschinenpistole mit selektivem Feuer und abnehmbarem Magazin. Wird oft als Zweitwaffe geführt. Nutzt .380 ACP-Munition.","Компактный пистолет-пулемет с переводчиком режимов огня и съемным магазином. Часто используется как пистолет. Использует патроны калибра .380 ACP.","Kompaktowy pistolet maszynowy z przełącznikiem ognia i magazynkiem zewnętrznym. Często używany jako broń zapasowa. Strzela amunicją .380 ACP.","Compact selective-fire submachine gun, fed from a detachable magazine. Often used as a sidearm. Uses .380 ACP rounds.","Mitra compatto con selettore di fuoco e alimentazione mediante un caricatore estraibile. Utilizzato spesso come arma da fianco. Utilizza munizioni calibro .380 ACP.","Metralleta de fuego selectivo compacta, alimentada por un cargador desmontable. Se suele utilizar como arma secundaria. Usa proyectiles de .380 ACP.","Un pistolet mitrailleur compact avec différents modes de tir accueillant un chargeur amovible de calibre .380 ACP. Sert souvent d'arme secondaire.","可選射擊模式的精簡機關槍，以可拆卸的彈匣供彈。常被當作配槍使用。使用 .380 ACP 子彈。","取り外し可能なマガジンから装填する、コンパクトなセレクティブファイア機能の短機関銃。頻繁にサイドアームとして使用される。.380 ACP 弾薬を使う。","Compact selective-fire submachine gun, fed from a detachable magazine. Often used as a sidearm. Uses .380 ACP rounds.","从可拆卸弹匣送弹的小型选射冲锋枪。通常用作随身武器。使用 .380 ACP 子弹。",
"str_cfgweapons_cz610","CR-61 Skorpion","CR-61 Skorpion","CR-61 Skorpion","CR-61 Skorpion","CR-61 Skorpion","CR-61 Skorpion","CR-61 Skorpion","CR-61 Skorpion","CR-61 Skorpion","CR-61 Skorpion","CR-61 Skorpion","CR-61 スコーピオン","CR-61 Skorpion","CR-61 Skorpion",
"str_cfgweapons_cz527_green0","$UNT$The CR527 carbine is a bolt-action, magazine-fed, light weight, intermediate range ‘brush gun'. This one has been spraypainted green.","$UNT$The CR527 carbine is a bolt-action, magazine-fed, light weight, intermediate range ‘brush gun'. This one has been spraypainted green.","$UNT$The CR527 carbine is a bolt-action, magazine-fed, light weight, intermediate range ‘brush gun'. This one has been spraypainted green.","$UNT$The CR527 carbine is a bolt-action, magazine-fed, light weight, intermediate range ‘brush gun'. This one has been spraypainted green.","$UNT$The CR527 carbine is a bolt-action, magazine-fed, light weight, intermediate range ‘brush gun'. This one has been spraypainted green.","$UNT$The CR527 carbine is a bolt-action, magazine-fed, light weight, intermediate range ‘brush gun'. This one has been spraypainted green.","$UNT$The CR527 carbine is a bolt-action, magazine-fed, light weight, intermediate range ‘brush gun'. This one has been spraypainted green.","$UNT$The CR527 carbine is a bolt-action, magazine-fed, light weight, intermediate range ‘brush gun'. This one has been spraypainted green.","$UNT$The CR527 carbine is a bolt-action, magazine-fed, light weight, intermediate range ‘brush gun'. This one has been spraypainted green.","$UNT$The CR527 carbine is a bolt-action, magazine-fed, light weight, intermediate range ‘brush gun'. This one has been spraypainted green.","$UNT$The CR527 carbine is a bolt-action, magazine-fed, light weight, intermediate range ‘brush gun'. This one has been spraypainted green.","$UNT$The CR527 carbine is a bolt-action, magazine-fed, light weight, intermediate range ‘brush gun'. This one has been spraypainted green.","$UNT$The CR527 carbine is a bolt-action, magazine-fed, light weight, intermediate range ‘brush gun'. This one has been spraypainted green.","$UNT$The CR527 carbine is a bolt-action, magazine-fed, light weight, intermediate range ‘brush gun'. This one has been spraypainted green.",
"str_cfgweapons_cz527_camo0","$UNT$The CR527 carbine is a bolt-action, magazine-fed, light weight, intermediate range ‘brush gun'. This one has been spraypainted camo.","$UNT$The CR527 carbine is a bolt-action, magazine-fed, light weight, intermediate range ‘brush gun'. This one has been spraypainted camo.","$UNT$The CR527 carbine is a bolt-action, magazine-fed, light weight, intermediate range ‘brush gun'. This one has been spraypainted camo.","$UNT$The CR527 carbine is a bolt-action, magazine-fed, light weight, intermediate range ‘brush gun'. This one has been spraypainted camo.","$UNT$The CR527 carbine is a bolt-action, magazine-fed, light weight, intermediate range ‘brush gun'. This one has been spraypainted camo.","$UNT$The CR527 carbine is a bolt-action, magazine-fed, light weight, intermediate range ‘brush gun'. This one has been spraypainted camo.","$UNT$The CR527 carbine is a bolt-action, magazine-fed, light weight, intermediate range ‘brush gun'. This one has been spraypainted camo.","$UNT$The CR527 carbine is a bolt-action, magazine-fed, light weight, intermediate range ‘brush gun'. This one has been spraypainted camo.","$UNT$The CR527 carbine is a bolt-action, magazine-fed, light weight, intermediate range ‘brush gun'. This one has been spraypainted camo.","$UNT$The CR527 carbine is a bolt-action, magazine-fed, light weight, intermediate range ‘brush gun'. This one has been spraypainted camo.","$UNT$The CR527 carbine is a bolt-action, magazine-fed, light weight, intermediate range ‘brush gun'. This one has been spraypainted camo.","$UNT$The CR527 carbine is a bolt-action, magazine-fed, light weight, intermediate range ‘brush gun'. This one has been spraypainted camo.","$UNT$The CR527 carbine is a bolt-action, magazine-fed, light weight, intermediate range ‘brush gun'. This one has been spraypainted camo.","$UNT$The CR527 carbine is a bolt-action, magazine-fed, light weight, intermediate range ‘brush gun'. This one has been spraypainted camo.",
"str_cfgweapons_cz527_black0","$UNT$The CR527 carbine is a bolt-action, magazine-fed, light weight, intermediate range ‘brush gun'. This one has been spraypainted black.","$UNT$The CR527 carbine is a bolt-action, magazine-fed, light weight, intermediate range ‘brush gun'. This one has been spraypainted black.","$UNT$The CR527 carbine is a bolt-action, magazine-fed, light weight, intermediate range ‘brush gun'. This one has been spraypainted black.","$UNT$The CR527 carbine is a bolt-action, magazine-fed, light weight, intermediate range ‘brush gun'. This one has been spraypainted black.","$UNT$The CR527 carbine is a bolt-action, magazine-fed, light weight, intermediate range ‘brush gun'. This one has been spraypainted black.","$UNT$The CR527 carbine is a bolt-action, magazine-fed, light weight, intermediate range ‘brush gun'. This one has been spraypainted black.","$UNT$The CR527 carbine is a bolt-action, magazine-fed, light weight, intermediate range ‘brush gun'. This one has been spraypainted black.","$UNT$The CR527 carbine is a bolt-action, magazine-fed, light weight, intermediate range ‘brush gun'. This one has been spraypainted black.","$UNT$The CR527 carbine is a bolt-action, magazine-fed, light weight, intermediate range ‘brush gun'. This one has been spraypainted black.","$UNT$The CR527 carbine is a bolt-action, magazine-fed, light weight, intermediate range ‘brush gun'. This one has been spraypainted black.","$UNT$The CR527 carbine is a bolt-action, magazine-fed, light weight, intermediate range ‘brush gun'. This one has been spraypainted black.","$UNT$The CR527 carbine is a bolt-action, magazine-fed, light weight, intermediate range ‘brush gun'. This one has been spraypainted black.","$UNT$The CR527 carbine is a bolt-action, magazine-fed, light weight, intermediate range ‘brush gun'. This one has been spraypainted black.","$UNT$The CR527 carbine is a bolt-action, magazine-fed, light weight, intermediate range ‘brush gun'. This one has been spraypainted black.",
